,id_i,id_j,dist_m,n_samples,corr,gamma_semi,gamma_vario
7382,3740,3760,12249.10682804188,19,0.732266974082094,6.981310315789473,6.739688066481995
7384,3740,3690,5942.65500961811,19,0.7552355250854632,1.4940547368421053,1.3782476232686982
7385,3740,16025,43628.78024164241,19,0.1694051826196649,109.14748968421054,105.57319605540168
7386,3740,16023,46163.52920282943,19,0.16659278261937605,175.18470905263158,167.9775033795014
7387,3740,16024,44961.57296459158,19,0.1615860829057586,87.79608926315787,84.77080713573407
7388,3740,16021,43843.7084229199,19,0.16478160542579903,120.39364715789473,115.9100532299169
7389,3740,16022,43166.69449464414,19,0.17308150870369907,95.86398484210524,92.43123324099723
7390,3740,16026,43791.64060388549,19,0.15338922957027615,134.46492631578948,128.2370770969529
7391,3740,16027,40890.87999408521,19,0.16406489585206893,93.85380210526314,90.69555625484766
7392,3740,16020,41081.270256976626,19,0.16331031873012197,96.24428968421051,92.81153808310249
7393,3740,16019,38648.89438744289,19,0.14587600852780444,55.25286063157894,53.39994681440445
7394,3740,16053,29841.82866963294,19,0.16723420825522328,14.397254736842106,14.374379257617722
7395,3740,16052,27873.28346950333,19,0.18078770042786843,7.959237052631581,7.957807335180055
7396,3740,16054,26428.463386738218,19,0.15672936695742654,6.247865263157895,6.2421463933518
7397,3740,16051,24325.26022801159,19,0.16232013963147315,8.122224842105265,8.120795124653739
7398,3740,3000,21919.898127931487,19,0.2859966665086361,4.808139789473684,4.795272332409972
7399,3740,2900,20056.87713186731,19,0.31069455484981284,4.020365473684211,3.997489994459835
7400,3740,1010,15837.578015246201,19,0.5726506844739389,3.0152741052631584,3.013844387811634
7401,3740,16032,53448.14287149036,19,0.17369398447241255,173.63632505263158,167.40847583379502
7402,3740,16033,57376.14260533922,19,0.11835565703110427,30.913350736842105,29.946861739612192
7403,3740,16031,55972.54039531509,19,0.09230915323684565,18.444784842105268,17.92865684210526
7404,3740,16046,53624.66346847407,19,0.14982153006110588,79.97267536842104,76.39838173961218
7405,3740,16036,53443.02861458532,19,0.03187389540044509,20.319144421052627,19.74725744044321
7406,3740,16047,50539.95673198139,19,0.08448249294974063,38.872587789473684,37.12118391135734
7407,3740,16034,54351.02321121561,19,-0.033365711033764595,31.34798484210526,30.227086360110803
7408,3740,16005,25172.40061886724,19,0.1967943577286493,13.039023157894741,13.01614767867036
7409,3740,16050,25325.784637398483,19,0.16593702060364451,10.485547789473685,10.462672310249307
7410,3880,7020,14205.450247560484,19,0.5071445187720143,3.6128960000000006,3.439900188365652
7411,3880,7030,16866.290560839014,19,0.7551394449889324,11.308975684210528,11.094428709141274
7412,3880,3760,17064.20990361454,19,0.7101823195904341,6.60100547368421,6.485198360110805
7414,3880,3690,10144.299612531591,19,0.8160026166625385,2.417652210526316,2.176029961218837
7415,3880,16025,37492.766263014935,19,0.19554525750407994,107.5719410526316,104.5466589252078
7416,3880,16023,40349.73919661967,19,0.19293784278176718,172.68556294736837,166.26756130747918
7417,3880,16024,38887.632090251944,19,0.18807679412173092,86.60084547368422,84.07882388919663
7418,3880,16021,37971.888605961256,19,0.19115714473466733,118.6551107368421,114.78915474792242
7419,3880,16022,37590.34281079596,19,0.2015639872492647,94.34276547368421,91.44758763434903
7420,3880,16026,38337.51081151601,19,0.180216085134982,132.56340210526315,127.06756822160658
7421,3880,16027,35244.9093991725,19,0.19039837549506777,92.5498997894737,89.90635222160665
7422,3880,16020,35928.88755856547,19,0.18986939197827402,94.88605810526316,91.99088026592798
7423,3880,16019,33896.612163324775,19,0.1726731256391948,54.763897263157894,53.29986659279778
7424,3880,16053,23711.432411998663,19,0.19358931077981942,15.103535157894735,15.103535157894735
7425,3880,16052,21570.57744634207,19,0.20890649893497354,8.937163789473685,8.924296332409973
7426,3880,16054,20155.699925510853,19,0.16581369803316834,7.606096842105263,7.554627013850417
7427,3880,16051,18691.11390910096,19,0.17451966185780585,9.317468631578947,9.304601174515238
7428,3880,3000,17036.145269639208,19,0.29343461823362715,6.003383578947369,5.933327423822716
7429,3880,2900,15820.20868763762,19,0.33923938454207175,5.106950736842105,5.015448819944599
7430,3880,1010,13731.567109476431,19,0.5968969044094394,3.5042374736842103,3.4913700166204977
7431,3880,16032,46893.94614530216,19,0.19966141680744398,171.13717894736837,165.64134506371187
7432,3880,16033,51170.45129491604,19,0.145608058554793,31.130667789473687,30.43868454293628
7433,3880,16031,50224.84021105619,19,0.10925886399649172,19.31405305263158,18.992366626038784
7434,3880,16046,47668.53191111917,19,0.17222731527695295,79.10340715789475,76.07812503047091
7435,3880,16036,48072.82694556474,19,0.05631013785017059,21.242741894736838,20.876734227146823
7436,3880,16047,45433.94530672583,19,0.10323304335547062,39.252892631578945,37.87893416066482
7437,3880,16034,49401.36122309657,19,-0.023024434800747017,32.651887157894734,31.828369905817173
7438,3880,16005,20400.962420576187,19,0.22332492114615402,13.690974315789473,13.690974315789473
7439,3880,16050,19391.762437776175,19,0.1802729313646636,11.517803789473682,11.51780378947368
7440,7020,7030,16751.127964168085,19,0.055632931097746,22.894691052631583,22.121839412742386
7441,7020,3760,20190.897360286122,19,0.7284238330044198,8.964328421052631,8.392441440443212
7443,7020,3690,23926.85439095048,19,0.8203930407103258,0.38030484210526316,0.37458597229916907
7444,7020,16025,23596.60213397202,19,0.712550473642012,98.74343578947371,94.09828378947371
7445,7020,16023,26283.659378031007,19,0.7130450396372044,162.55315536842107,153.85475439335175
7446,7020,16024,24954.077017735424,19,0.7252651926876684,77.82666947368419,73.81059315235454
7447,7020,16021,23925.39088566531,19,0.7188669264882033,109.33764210526316,103.66309354016617
7448,7020,16022,23436.24795542214,19,0.7130961920491614,86.16621136842106,81.6826174404432
7449,7020,16026,24158.43266281106,19,0.7387394479583107,122.1593482105263,114.54038391135732
7450,7020,16027,21103.824414108953,19,0.7252840963912114,83.6670652631579,79.49800917451525
7451,7020,16020,21723.846961973213,19,0.7155240959172968,86.16621136842106,81.6826174404432
7452,7020,16019,19757.226174151216,19,0.7549224542352034,46.15270905263158,43.50916148476454
7453,7020,16053,9768.262725585486,19,0.7084817433657483,9.317468631578944,9.14447281994459
7454,7020,16052,7793.249405117166,19,0.768118971051762,3.6400606315789474,3.5485587146814406
7455,7020,16054,6351.712040499626,19,0.7474391848338873,2.254664421052632,2.2189214847645427
7456,7020,16051,4485.686767219715,19,0.738130764647686,3.8030484210526314,3.7115465041551254
7457,7020,3000,3631.3298862689217,19,0.8226698293341429,1.5212193684210527,1.4983438891966763
