centroid_id,centroid_x,centroid_y,buffer_m,buffer_km,n_stations
423,346132.26943233144,4309951.556716117,5000.0,5.0,4
424,345787.1291602005,4292194.821456605,5000.0,5.0,3
425,346153.8807054567,4311061.367317917,5000.0,5.0,5
426,346175.49668134016,4312171.179643832,5000.0,5.0,4
427,346197.1173593406,4313280.993693996,5000.0,5.0,6
428,346218.74273881625,4314390.809468545,5000.0,5.0,6
429,346240.37281912565,4315500.626967613,5000.0,5.0,5
430,346262.0075996269,4316610.44619133,5000.0,5.0,7
431,346283.6470796782,4317720.267139835,5000.0,5.0,8
432,346305.2912586373,4318830.089813257,5000.0,5.0,6
433,346326.9401358622,4319939.914211731,5000.0,5.0,6
434,357302.0690554967,4304191.216371423,5000.0,5.0,10
435,357322.07453025726,4305301.00226378,5000.0,5.0,9
436,357342.0843665248,4306410.789905307,5000.0,5.0,8
437,357362.09856370615,4307520.579296143,5000.0,5.0,8
438,357382.1171212075,4308630.370436422,5000.0,5.0,10
439,357402.14003843535,4309740.163326281,5000.0,5.0,10
440,357422.1673147959,4310849.95796586,5000.0,5.0,12
441,357442.198949695,4311959.754355295,5000.0,5.0,13
442,357462.2349425388,4313069.552494721,5000.0,5.0,14
443,357482.27529273287,4314179.352384273,5000.0,5.0,14
444,357502.31999968295,4315289.154024092,5000.0,5.0,11
445,345374.06243231567,4315517.560570445,5000.0,5.0,6
446,345395.819203019,4316627.381061807,5000.0,5.0,7
447,345417.5806997305,4317737.203275898,5000.0,5.0,8
448,345439.34692180436,4318847.027212841,5000.0,5.0,8
449,345461.1178685948,4319956.852872778,5000.0,5.0,6
450,345026.5973645018,4297760.666889512,5000.0,5.0,4
451,345048.27843137796,4298870.459835582,5000.0,5.0,5
452,345069.96423457353,4299980.254502217,5000.0,5.0,5
453,345091.6547734454,4301090.0508895535,5000.0,5.0,6
454,345113.3500473498,4302199.848997728,5000.0,5.0,7
455,345135.05005564337,4303309.648826877,5000.0,5.0,6
456,345156.754797682,4304419.45037713,5000.0,5.0,6
457,345178.46427282196,4305529.253648631,5000.0,5.0,6
458,345200.1784804191,4306639.058641514,5000.0,5.0,7
459,345221.89741982927,4307748.865355912,5000.0,5.0,6
460,345243.62109040795,4308858.673791959,5000.0,5.0,3
461,345265.34949151066,4309968.483949792,5000.0,5.0,3
462,345287.0826224927,4311078.295829545,5000.0,5.0,4
463,345308.8204827093,4312188.109431352,5000.0,5.0,4
464,345330.5630715154,4313297.924755349,5000.0,5.0,5
465,345352.31038826593,4314407.741801667,5000.0,5.0,6
466,351187.73449608707,4302083.419003285,5000.0,5.0,12
467,351208.58283381874,4303193.2099377485,5000.0,5.0,13
468,351229.43571977684,4304303.002607493,5000.0,5.0,11
469,351250.2931533429,4305412.797012665,5000.0,5.0,11
470,351271.1551338983,4306522.593153395,5000.0,5.0,15
471,351292.0216608242,4307632.391029823,5000.0,5.0,14
472,351312.8927335015,4308742.190642078,5000.0,5.0,12
473,351333.7683513112,4309851.991990303,5000.0,5.0,8
474,351354.6485136341,4310961.7950746305,5000.0,5.0,9
475,351375.53321985074,4312071.599895197,5000.0,5.0,9
476,351396.4224693417,4313181.406452138,5000.0,5.0,9
477,351417.3162614872,4314291.214745588,5000.0,5.0,13
