,gamma_vario
1118,0.6462322880886427
1119,0.7320153351800557
1120,8.921436897506926
1121,2.770792421052631
1122,41.736311844875345
1123,4.209088177285318
1124,13.161978858725764
1125,13.765319623268699
1126,1.6613316786703596
1127,0.18872270360110796
1128,4.575095844875352
1129,20.118983977839335
1130,27.842317650969534
1131,3.720124808864267
1132,11.140358382271465
1133,65.5954366759003
1134,10.368310958448756
1135,17.073685806094186
1136,1.0436937396121875
1137,1.198103224376732
1138,61.66657311911357
1139,5.152701695290862
1140,12.552919224376733
1141,52.936718360110795
1142,54.84968031024928
1143,39.70897249861496
1144,75.62919375069252
1145,6.708234282548475
1146,12.432822958448757
1147,26.272487889196686
1148,35.09098513019391
1149,31.42804901939058
1150,35.12243891412741
1151,35.03665586703601
1152,77.41348113019387
1153,75.12879264265928
1154,67.93159499168978
1155,77.7766293628809
1156,78.55153622160668
1157,13.256340210526316
1158,18.489106083102495
1159,73.50749305263157
1160,74.53974905263156
1161,73.81059315235461
1162,65.36954131855958
1163,95.27762197229917
1164,79.37791290858726
1165,70.8653752022161
1166,19.65861495844874
1167,1.5383759778393333
1168,39.46877996675901
1169,45.79384997229918
1170,39.5231092299169
1171,47.932707279778406
1172,17.505460476454303
1173,33.08652126315789
1174,4.466437318559558
1175,42.67420649307479
1176,27.72222138504156
1177,67.33397309695293
1178,33.769926204986156
1179,2.8737320775623276
1180,12.527184310249313
1181,0.6548105927977833
1182,66.97940316897508
1183,6.822611678670364
1184,59.31897706371192
1185,81.485316432133
1186,8.584023578947368
1187,5.138404520775622
1188,29.786733385041554
1189,39.13136664819946
1190,26.63277668698062
1191,73.63330818836566
1192,84.64785143490306
1193,79.7810932299169
1194,80.32438586149588
1195,79.71532622714685
1196,70.97117429362883
1197,101.21738312465372
1198,85.90600279224375
1199,76.73293562326872
1200,16.953589540166192
1201,1.052272044321329
1202,43.843715368421066
1203,50.37752412188367
1204,43.78938610526317
1205,52.730839047091415
1206,57.90641622160663
1207,62.913286736842096
1208,20.1046868033241
1209,36.75231680886427
1210,46.72316631578946
1211,37.77313506925208
1212,13.979777240997246
1213,1.4068419722991676
1214,9.77926736842106
1215,33.54689028254845
1216,0.3202567091412741
1217,29.083312398891955
1218,43.65213322991688
1219,0.8177983822714668
1220,0.3745859722991693
1221,9.467588963988918
1222,15.069221939058162
1223,7.686161019390581
1224,38.35074091966759
1225,48.4731404764543
1226,44.12679942382271
1227,43.96381163434903
1228,44.02100033240995
1229,36.17471095844874
1230,64.42932337950138
1231,50.257427855955676
1232,40.48959822714681
1233,41.35600700277006
1234,9.376087047091413
1235,17.714199224376724
1236,21.9147090969529
1237,17.659869961218828
1238,23.598916254847637
1239,27.181788188365648
1240,31.07919796121883
1241,4.998292210526314
1242,13.64808279224376
1243,20.593650171745143
1244,14.085576332409971
1245,37.790291678670364
1246,38.041921950138516
1247,32.771983423822704
1248,41.61049670914127
1249,42.82289710803325
1250,14.228548077562328
1251,11.303346171745153
1252,38.2420823933518
1253,38.296411656509704
1254,30.77037899168975
1255,58.27153031578947
1256,34.787885030470925
1257,11.240438603878115
1258,12.432822958448753
1259,37.22698300277009
1260,41.936472288088645
1261,42.12519499168974
1262,36.50068653739611
1263,45.52792252631579
1264,46.52586530747922
1265,14.483037783933522
1266,12.5815135734072
1267,42.08230346814404
1268,42.05084968421051
1269,34.46190945152354
1270,62.19110070914127
1271,38.68529480332409
1272,13.77675736288088
1273,14.680338792243766
1274,41.66196653739612
1275,13.53084596121884
1276,38.673857063711914
1277,2.4991461052631587
1278,8.360987656509694
1279,0.3259755789473688
1280,33.70415920221607
1281,46.25993786149585
1282,46.36287751800555
1283,40.4524255734072
1284,49.57402291412743
1285,50.70921857063714
1286,14.714652011080332
1287,13.86825927977839
1288,46.11696611634348
1289,46.11696611634349
1290,45.98829154570637
1291,38.47655605540166
1292,66.25864685872575
1293,52.71654187257618
1294,42.748551800554026
1295,19.264012941828263
1296,23.6989964764543
1297,19.264012941828263
1298,25.28026397783934
1299,16.616176221606654
1300,16.96788671468144
1301,46.156998204986145
1302,15.292257861495846
1303,13.53084596121884
1304,38.673857063711914
1305,2.4991461052631587
1306,8.360987656509694
1307,0.3259755789473688
1308,33.70415920221607
1309,46.25993786149585
1310,46.36287751800555
1311,40.4524255734072
1312,49.57402291412743
1313,50.70921857063714
1314,14.714652011080332
1315,13.86825927977839
1316,46.11696611634348
1317,46.11696611634349
1318,45.98829154570637
1319,38.47655605540166
1320,66.25864685872575
1321,52.71654187257618
1322,42.748551800554026
1323,19.264012941828263
1324,23.6989964764543
1325,19.264012941828263
1326,25.28026397783934
1327,16.616176221606654
1328,16.96788671468144
1329,46.156998204986145
1330,15.292257861495846
1331,0.2344736620498616
1332,8.326674437673134
1333,1.0236776952908586
1334,15.64110891966759
1335,37.452878360110816
1336,29.743841861495856
1337,12.70446927423823
1338,11.566414182825486
1339,17.977267235457056
1340,18.583467434903042
1341,14.694635966759
1342,22.36078094182825
1343,24.01639375069251
1344,25.551910293628815
1345,16.516095999999997
1346,19.086727977839338
1347,19.644317783933513
1348,13.396452520775625
