Reading,Receive,Value,Unit,Data Quality
01/14/2015 08:03:08 PM,07/27/2015 02:22:06 PM,0.00,in,A
01/13/2015 08:06:56 PM,07/27/2015 02:22:06 PM,0.00,in,A
01/11/2015 08:14:30 PM,07/27/2015 02:22:06 PM,0.00,in,A
01/10/2015 08:18:17 PM,07/27/2015 02:22:06 PM,0.00,in,A
01/08/2015 08:25:51 PM,07/27/2015 02:22:06 PM,0.00,in,A
01/06/2015 08:33:23 PM,07/27/2015 02:22:06 PM,0.00,in,A
01/05/2015 08:37:10 PM,07/27/2015 02:22:06 PM,0.00,in,A
01/03/2015 08:44:43 PM,07/27/2015 02:22:06 PM,0.00,in,A
01/03/2015 08:46:37 AM,07/27/2015 02:22:06 PM,0.00,in,A
01/02/2015 08:48:31 PM,07/27/2015 02:22:06 PM,0.00,in,A
01/02/2015 08:50:25 AM,07/27/2015 02:22:06 PM,0.00,in,AN
12/29/2014 09:03:38 PM,12/29/2014 09:03:55 PM,0.00,in,A
12/28/2014 09:07:26 PM,12/28/2014 09:07:55 PM,0.00,in,A
12/27/2014 09:11:13 PM,12/27/2014 09:11:25 PM,0.00,in,A
12/27/2014 09:13:07 AM,12/27/2014 09:13:25 AM,0.00,in,A
12/26/2014 09:15:01 PM,12/26/2014 09:15:25 PM,0.00,in,A
12/26/2014 09:16:55 AM,12/26/2014 09:17:25 AM,0.00,in,A
12/25/2014 09:18:49 PM,12/25/2014 09:18:55 PM,0.00,in,A
12/25/2014 09:20:43 AM,12/25/2014 09:20:55 AM,0.00,in,A
12/24/2014 09:22:37 PM,12/24/2014 09:22:55 PM,0.00,in,A
12/24/2014 09:24:31 AM,12/24/2014 09:24:55 AM,0.00,in,A
12/24/2014 06:19:39 AM,12/24/2014 06:19:55 AM,0.04,in,A
12/24/2014 04:43:05 AM,12/24/2014 04:43:25 AM,0.04,in,A
12/24/2014 03:37:14 AM,12/24/2014 03:37:25 AM,0.04,in,A
12/23/2014 09:26:25 PM,12/23/2014 09:26:55 PM,0.00,in,A
12/23/2014 09:28:19 AM,12/23/2014 09:28:25 AM,0.00,in,A
12/22/2014 09:30:13 PM,12/22/2014 09:30:25 PM,0.00,in,A
12/22/2014 04:51:01 PM,12/22/2014 04:51:25 PM,0.04,in,A
12/22/2014 10:53:12 AM,12/22/2014 10:53:25 AM,0.04,in,A
12/22/2014 09:37:36 AM,12/22/2014 09:37:55 AM,0.04,in,A
12/22/2014 05:18:26 AM,12/22/2014 05:18:55 AM,0.04,in,A
12/21/2014 09:34:01 PM,12/21/2014 09:34:25 PM,0.00,in,A
12/21/2014 09:35:55 AM,12/21/2014 09:36:25 AM,0.00,in,A
12/20/2014 09:37:49 PM,12/20/2014 09:37:55 PM,0.00,in,A
12/20/2014 10:58:18 AM,12/20/2014 10:58:25 AM,0.04,in,A
12/20/2014 10:32:53 AM,12/20/2014 10:32:55 AM,0.04,in,A
12/20/2014 10:01:30 AM,12/20/2014 10:01:55 AM,0.04,in,A
12/20/2014 09:39:43 AM,12/20/2014 09:39:55 AM,0.00,in,A
12/20/2014 09:01:12 AM,12/20/2014 09:01:25 AM,0.04,in,A
12/19/2014 09:41:37 PM,12/19/2014 09:41:55 PM,0.00,in,A
12/19/2014 09:43:31 AM,12/19/2014 09:43:55 AM,0.00,in,A
12/18/2014 09:45:25 PM,12/18/2014 09:45:55 PM,0.00,in,A
12/18/2014 07:34:18 PM,12/18/2014 07:34:25 PM,0.04,in,A
12/18/2014 03:42:23 PM,12/18/2014 03:42:25 PM,0.04,in,A
12/18/2014 09:47:19 AM,12/18/2014 09:47:25 AM,0.00,in,A
12/17/2014 09:49:12 PM,12/17/2014 09:49:25 PM,0.00,in,A
12/17/2014 09:51:06 AM,12/17/2014 09:51:25 AM,0.00,in,A
12/16/2014 09:53:00 PM,12/16/2014 09:53:25 PM,0.00,in,A
12/16/2014 09:54:53 AM,12/16/2014 09:54:55 AM,0.00,in,A
12/15/2014 09:56:47 PM,12/15/2014 09:56:56 PM,0.00,in,A
12/15/2014 09:58:41 AM,12/15/2014 09:58:55 AM,0.00,in,A
12/15/2014 08:28:18 AM,12/15/2014 08:28:25 AM,0.04,in,A
12/15/2014 03:51:27 AM,12/15/2014 03:51:55 AM,0.04,in,A
12/14/2014 11:30:59 PM,12/14/2014 11:31:25 PM,0.04,in,A
12/14/2014 11:15:09 PM,12/14/2014 11:15:26 PM,0.08,in,A
12/14/2014 10:48:54 PM,12/14/2014 10:48:56 PM,0.04,in,A
12/14/2014 10:34:45 PM,12/14/2014 10:34:56 PM,0.04,in,A
12/14/2014 10:29:59 PM,12/14/2014 10:30:25 PM,0.04,in,A
12/14/2014 10:27:37 PM,12/14/2014 10:27:56 PM,0.04,in,A
12/14/2014 10:25:30 PM,12/14/2014 10:25:55 PM,0.04,in,A
12/14/2014 10:16:15 PM,12/14/2014 10:16:26 PM,0.04,in,A
12/14/2014 10:06:45 PM,12/14/2014 10:06:55 PM,0.04,in,A
12/14/2014 10:00:36 PM,12/14/2014 10:00:55 PM,0.00,in,A
12/14/2014 09:49:21 PM,12/14/2014 09:49:25 PM,0.04,in,A
12/14/2014 09:25:38 PM,12/14/2014 09:25:55 PM,0.04,in,A
12/14/2014 09:14:08 PM,12/14/2014 09:14:25 PM,0.12,in,A
12/14/2014 08:49:52 PM,12/14/2014 08:49:56 PM,0.04,in,A
12/14/2014 08:42:27 PM,12/14/2014 08:42:55 PM,0.04,in,A
12/14/2014 08:33:18 PM,12/14/2014 08:33:26 PM,0.04,in,A
12/14/2014 08:23:27 PM,12/14/2014 08:23:55 PM,0.04,in,A
12/14/2014 08:11:06 PM,12/14/2014 08:11:25 PM,0.04,in,A
12/14/2014 10:02:30 AM,12/14/2014 10:02:55 AM,0.00,in,A
12/13/2014 04:08:54 AM,12/13/2014 04:08:55 AM,0.00,in,A
12/12/2014 04:10:49 PM,12/12/2014 04:10:55 PM,0.00,in,A
12/12/2014 04:12:43 AM,12/12/2014 04:12:55 AM,0.00,in,A
12/11/2014 04:14:37 PM,12/11/2014 04:14:56 PM,0.00,in,A
12/11/2014 04:16:31 AM,12/11/2014 04:16:55 AM,0.00,in,A
12/11/2014 03:09:56 AM,12/11/2014 03:10:25 AM,0.04,in,A
12/10/2014 04:18:25 PM,12/10/2014 04:18:25 PM,0.00,in,A
12/10/2014 04:20:18 AM,12/10/2014 10:42:03 AM,0.00,in,A
12/09/2014 04:22:12 PM,12/09/2014 04:22:25 PM,0.00,in,A
12/09/2014 04:24:06 AM,12/09/2014 04:24:25 AM,0.00,in,A
12/08/2014 04:26:00 PM,12/08/2014 04:26:25 PM,0.00,in,A
12/08/2014 04:27:54 AM,12/08/2014 04:27:56 AM,0.00,in,A
12/07/2014 05:54:45 PM,12/07/2014 05:54:55 PM,0.04,in,A
12/07/2014 04:29:48 PM,12/07/2014 04:29:55 PM,0.00,in,A
12/07/2014 04:31:42 AM,12/07/2014 04:31:55 AM,0.00,in,A
12/06/2014 04:33:36 PM,12/06/2014 04:33:55 PM,0.00,in,A
12/06/2014 04:35:30 AM,12/06/2014 04:35:55 AM,0.00,in,A
12/05/2014 04:37:24 PM,12/05/2014 04:37:25 PM,0.00,in,A
12/05/2014 02:43:48 PM,12/05/2014 02:43:55 PM,0.04,in,A
12/05/2014 11:47:06 AM,12/05/2014 11:47:25 AM,0.04,in,A
12/05/2014 09:13:17 AM,12/05/2014 09:13:25 AM,0.04,in,A
12/05/2014 08:08:28 AM,12/05/2014 08:08:55 AM,0.04,in,A
12/05/2014 07:43:06 AM,12/05/2014 07:43:25 AM,0.04,in,A
12/05/2014 07:04:02 AM,12/05/2014 07:04:25 AM,0.04,in,A
