NEW,,,,,Filenames,,HARI,,,
properties.site_id,properties.site_alias,Lat,Long,,,,ID,Latitude,Longitude,New ID
4427,16337,38.9952661,-94.4462607,,16085,,16076,38.8559100,-94.9340800,16049
4423,16338,38.9595075,-94.4465874,,16086,,16077,38.8694100,-94.9705000,16306
4426,16339,38.9644561,-94.4269250,,16087,,16082,38.8897000,-95.0377500,16306
4433,16340,39.3209048,-94.7017883,,16088,,16078,38.8987700,-94.9768300,16306
4397,16341,39.2278000,-94.4683000,,16090,,16081,38.9485200,-94.9933300,16081
4391,16342,39.2000000,-94.4922000,,16093,,16079,38.9566300,-94.9737700,16066
78,16067,38.8673000,-94.8154100,,16094,,2730,38.9728024,-94.4741882,16057
138,16055,38.9272700,-94.8057970,,16095,,2720,38.9615492,-94.4748451,16066
84,16066,38.9421100,-94.8486900,,16096,,2890,38.9952661,-94.4462607,16075
101,16057,38.9672200,-94.8149400,,16098,,2740,38.9595075,-94.4465874,16066
113,16061,38.9739400,-94.8213300,,16099,,2840,38.9644561,-94.4269250,16066
114,16075,38.9930200,-94.8535500,,16105,,4200,39.3209048,-94.7017883,16034
122,16065,39.0285000,-94.8515200,,16106,,4000,39.2278000,-94.4683000,16034
103,16064,39.0057200,-94.7290800,,16112,,3920,39.2000000,-94.4922000,16045
102,16062,38.9856600,-94.7498800,,16300,,16067,38.8673000,-94.8154100,16306
104,16059,38.9980800,-94.7610000,,16301,,16055,38.9272700,-94.8057970,16069
105,16060,38.9991208,-94.7915324,,16303,,16066,38.9421100,-94.8486900,16011
115,16058,39.0094100,-94.8165000,,16304,,16057,38.9672200,-94.8149400,16057
116,16063,39.0150000,-94.8255500,,16305,,16061,38.9739400,-94.8213300,16061
4400,16343,39.2257465,-94.5205938,,16306,,16075,38.9930200,-94.8535500,16075
4415,16344,39.2979550,-94.4547821,,16307,,16065,39.0285000,-94.8515200,16063
4413,16345,39.2970395,-94.5716612,,16309,,16064,39.0057200,-94.7290800,16060
4398,16347,39.2365640,-94.4684440,,16310,,16062,38.9856600,-94.7498800,16061
4416,16348,39.2673470,-94.4773096,,16314,,16059,38.9980800,-94.7610000,16059
4417,16349,39.1809122,-94.5593524,,16315,,16060,38.9988000,-94.7911600,16059
54,16030,38.8547700,-94.6939100,,16317,,16058,39.0094100,-94.8165000,16058
53,16043,38.8504100,-94.6679700,,16318,,16063,39.0150000,-94.8255500,16063
51,16042,38.8461110,-94.6490000,,16321,,3700,39.2257465,-94.5205938,16034
11,16044,38.8520468,-94.6303641,,16322,,2620,39.2979550,-94.4547821,16034
12,16045,38.8589700,-94.6117200,,16323,,2600,39.2970395,-94.5716612,16034
4405,16350,39.2173556,-94.6016381,,16324,,2650,39.1707025,-94.5333901,16063
4406,16351,39.2171598,-94.6187435,,16325,,3980,39.2365640,-94.4684440,16034
4431,16352,39.2397496,-94.6637126,,16327,,2630,39.2673470,-94.4773096,16034
4402,16353,39.2480624,-94.5541220,,16328,,2640,39.1809122,-94.5593524,16349
4399,16356,39.2139353,-94.5160203,,16330,,16030,38.8547700,-94.6939100,16049
4407,16357,39.2117351,-94.6406849,,16331,,16043,38.8504100,-94.6679700,16049
249,16819,39.0755960,-94.6574360,,16332,,16042,38.8461110,-94.6490000,16049
248,16823,39.1415020,-94.6913590,,16333,,16044,38.8521600,-94.6303300,16049
228,7030,39.1563800,-94.8225000,,16334,,16045,38.8589700,-94.6117200,16049
262,16825,39.1155920,-94.8518160,,16336,,3820,39.2173556,-94.6016381,16034
255,16826,39.1276800,-94.7930650,,16337,,3800,39.2171598,-94.6187435,16034
247,16822,39.0910820,-94.7557810,,16338,,4150,39.2397496,-94.6637126,16034
226,16827,39.1228980,-94.7128340,,16339,,3740,39.2480624,-94.5541220,16034
4392,16358,39.1981000,-94.5297000,,16340,,3900,39.1817751,-94.6011238,16045
4438,16359,39.1737536,-94.4492503,,16341,,3680,39.2139353,-94.5160203,16356
4412,16360,39.3061169,-94.6487459,,16342,,3880,39.2117351,-94.6406849,16045
4429,16361,39.2940006,-94.5894925,,16343,,7020,39.0840883,-94.6524518,16063
74,16025,38.8833600,-94.7421300,,16344,,7000,39.0755960,-94.6574360,16063
57,16023,38.8543800,-94.7260800,,16345,,7060,39.1415020,-94.6913590,16063
58,16024,38.8704530,-94.7421306,,16347,,7030,39.1563800,-94.8225000,16063
73,16021,38.8758000,-94.7235000,,16348,,7080,39.1155920,-94.8518160,16063
63,16022,38.8763300,-94.7006600,,16349,,7050,39.0910820,-94.7557810,16063
55,16026,38.8688300,-94.6936300,,16350,,3940,39.1981000,-94.5297000,16045
64,16027,38.8975500,-94.6995500,,16351,,3760,39.1737536,-94.4492503,16063
61,16020,38.8887500,-94.6679400,,16352,,3660,39.3061169,-94.6487459,16034
62,16019,38.9063600,-94.6399700,,16353,,3690,39.2940006,-94.5894925,16034
99,16053,39.0021636,-94.6937087,,16356,,16025,38.8833600,-94.7421300,16306
1579,16090,39.0074842,-94.6989106,,16357,,16023,38.8543800,-94.7260800,16049
111,16052,39.0219886,-94.6943946,,16358,,16024,38.8704400,-94.7420800,16306
112,16054,39.0334856,-94.6876654,,16359,,16021,38.8758000,-94.7235000,16306
108,16050,39.0385490,-94.6701310,,16360,,16022,38.8763300,-94.7006600,16306
109,16051,39.0438144,-94.6560017,,16361,,16026,38.8688300,-94.6936300,16306
4378,16362,39.0586837,-94.6260096,,16362,,16027,38.8975500,-94.6995500,16306
4428,16363,39.0718617,-94.6055550,,16363,,16020,38.8887500,-94.6679400,16306
76,16032,38.8120858,-94.8161214,,16819,,16019,38.9063600,-94.6399700,16306
7,16033,38.7672500,-94.7973300,,16822,,16053,39.0021300,-94.6935500,16060
5,16031,38.7671767,-94.7485664,,16823,,16090,39.0072200,-94.6988000,16060
6,16046,38.7927136,-94.7608935,,16825,,16052,39.0219700,-94.6944160,16063
4,16036,38.7818796,-94.7077837,,16826,,16054,39.0338800,-94.6876600,16063
49,16047,38.8036463,-94.6810486,,16827,,16051,39.0437700,-94.6559700,16063
3,16034,38.7674916,-94.6741585,,7030,,3000,39.0586837,-94.6260096,16063
,,,,,,,2900,39.0718617,-94.6055550,16063
,,,,,,,1010,39.1054396,-94.5594001,16063
,,,,,,,16032,38.8120500,-94.8160800,#N/A
,,,,,,,16033,38.7672500,-94.7973300,#N/A
,,,,,,,16031,38.7671600,-94.7485500,#N/A
,,,,,,,16046,38.7926300,-94.7607200,#N/A
,,,,,,,16036,38.7818880,-94.7084700,#N/A
,,,,,,,16047,38.8036300,-94.6810200,#N/A
,,,,,,,16034,38.7674400,-94.6741300,#N/A
,,,,,,,16005,39.0283000,-94.6260200,16063
,,,,,,,16050,39.0385490,-94.6701310,16063
