bin_start_utc,bin_end_utc,depth_5min_mm,mm_per_hr
2023-10-24 21:05:00+00:00,2023-10-24 21:10:00+00:00,1.016,12.192
2023-10-24 21:10:00+00:00,2023-10-24 21:15:00+00:00,3.048,36.576
2023-10-24 21:15:00+00:00,2023-10-24 21:20:00+00:00,1.016,12.192
2023-10-24 21:25:00+00:00,2023-10-24 21:30:00+00:00,1.016,12.192
2023-10-24 21:30:00+00:00,2023-10-24 21:35:00+00:00,1.016,12.192
2023-10-24 22:10:00+00:00,2023-10-24 22:15:00+00:00,1.016,12.192
2023-10-24 22:55:00+00:00,2023-10-24 23:00:00+00:00,1.016,12.192
2023-10-24 23:10:00+00:00,2023-10-24 23:15:00+00:00,1.016,12.192
2023-10-24 23:15:00+00:00,2023-10-24 23:20:00+00:00,1.016,12.192
2023-10-24 23:20:00+00:00,2023-10-24 23:25:00+00:00,1.016,12.192
2023-10-24 23:25:00+00:00,2023-10-24 23:30:00+00:00,2.032,24.384
2023-10-24 23:30:00+00:00,2023-10-24 23:35:00+00:00,6.096,73.152
2023-10-24 23:35:00+00:00,2023-10-24 23:40:00+00:00,5.08,60.96
2023-10-24 23:40:00+00:00,2023-10-24 23:45:00+00:00,3.048,36.576
2023-10-24 23:45:00+00:00,2023-10-24 23:50:00+00:00,2.032,24.384
2023-10-24 23:50:00+00:00,2023-10-24 23:55:00+00:00,1.016,12.192
2023-10-24 23:55:00+00:00,2023-10-25 00:00:00+00:00,1.016,12.192
2023-10-25 00:00:00+00:00,2023-10-25 00:05:00+00:00,1.016,12.192
2023-10-25 00:10:00+00:00,2023-10-25 00:15:00+00:00,2.032,24.384
2023-10-25 00:15:00+00:00,2023-10-25 00:20:00+00:00,2.032,24.384
2023-10-25 00:20:00+00:00,2023-10-25 00:25:00+00:00,1.016,12.192
2023-10-25 00:25:00+00:00,2023-10-25 00:30:00+00:00,1.016,12.192
2023-10-25 00:30:00+00:00,2023-10-25 00:35:00+00:00,3.048,36.576
2023-10-25 00:35:00+00:00,2023-10-25 00:40:00+00:00,2.032,24.384
2023-10-25 00:40:00+00:00,2023-10-25 00:45:00+00:00,1.016,12.192
2023-10-25 01:30:00+00:00,2023-10-25 01:35:00+00:00,1.016,12.192
2023-10-25 02:05:00+00:00,2023-10-25 02:10:00+00:00,1.016,12.192
2023-10-25 02:45:00+00:00,2023-10-25 02:50:00+00:00,1.016,12.192
2023-10-25 03:10:00+00:00,2023-10-25 03:15:00+00:00,1.016,12.192
2023-10-25 03:45:00+00:00,2023-10-25 03:50:00+00:00,1.016,12.192
2023-10-25 04:00:00+00:00,2023-10-25 04:05:00+00:00,1.016,12.192
2023-10-25 04:15:00+00:00,2023-10-25 04:20:00+00:00,1.016,12.192
2023-10-25 04:20:00+00:00,2023-10-25 04:25:00+00:00,1.016,12.192
2023-10-25 05:05:00+00:00,2023-10-25 05:10:00+00:00,1.016,12.192
2023-10-25 05:25:00+00:00,2023-10-25 05:30:00+00:00,1.016,12.192
2023-10-25 05:50:00+00:00,2023-10-25 05:55:00+00:00,1.016,12.192
2023-10-25 05:55:00+00:00,2023-10-25 06:00:00+00:00,3.048,36.576
2023-10-25 06:00:00+00:00,2023-10-25 06:05:00+00:00,1.016,12.192
