file,rows_total,time_parsed_ok,value_parsed_ok,rows_kept_after_dropna,bins_written
/mnt/12TB/Sujan/Spatial_correlation/Raw_rain_measurement/OneDrive_1_1-26-2026/stormwatch_compiled_rawstyle_mm/16096.csv,20372,20372,20372,20372,16841
/mnt/12TB/Sujan/Spatial_correlation/Raw_rain_measurement/OneDrive_1_1-26-2026/stormwatch_compiled_rawstyle_mm/16098.csv,40132,40132,40132,40132,22836
/mnt/12TB/Sujan/Spatial_correlation/Raw_rain_measurement/OneDrive_1_1-26-2026/stormwatch_compiled_rawstyle_mm/16099.csv,4184,4184,4184,4184,3651
/mnt/12TB/Sujan/Spatial_correlation/Raw_rain_measurement/OneDrive_1_1-26-2026/stormwatch_compiled_rawstyle_mm/16105.csv,9977,9977,9977,9977,8483
/mnt/12TB/Sujan/Spatial_correlation/Raw_rain_measurement/OneDrive_1_1-26-2026/stormwatch_compiled_rawstyle_mm/16106.csv,3683,3683,3081,3081,2604
/mnt/12TB/Sujan/Spatial_correlation/Raw_rain_measurement/OneDrive_1_1-26-2026/stormwatch_compiled_rawstyle_mm/16112.csv,3938,3938,3938,3938,3390
/mnt/12TB/Sujan/Spatial_correlation/Raw_rain_measurement/OneDrive_1_1-26-2026/stormwatch_compiled_rawstyle_mm/1720.csv,28320,28320,28320,28320,18166
/mnt/12TB/Sujan/Spatial_correlation/Raw_rain_measurement/OneDrive_1_1-26-2026/stormwatch_compiled_rawstyle_mm/2320.csv,10966,10966,10966,10966,10156
/mnt/12TB/Sujan/Spatial_correlation/Raw_rain_measurement/OneDrive_1_1-26-2026/stormwatch_compiled_rawstyle_mm/2420.csv,20185,20185,20185,20185,17900
/mnt/12TB/Sujan/Spatial_correlation/Raw_rain_measurement/OneDrive_1_1-26-2026/stormwatch_compiled_rawstyle_mm/2440.csv,21424,21424,21424,21424,18858
/mnt/12TB/Sujan/Spatial_correlation/Raw_rain_measurement/OneDrive_1_1-26-2026/stormwatch_compiled_rawstyle_mm/2460.csv,16961,16961,16961,16961,15299
/mnt/12TB/Sujan/Spatial_correlation/Raw_rain_measurement/OneDrive_1_1-26-2026/stormwatch_compiled_rawstyle_mm/2500.csv,22399,22399,22399,22399,19397
/mnt/12TB/Sujan/Spatial_correlation/Raw_rain_measurement/OneDrive_1_1-26-2026/stormwatch_compiled_rawstyle_mm/2520.csv,20889,20889,20889,20889,18247
/mnt/12TB/Sujan/Spatial_correlation/Raw_rain_measurement/OneDrive_1_1-26-2026/stormwatch_compiled_rawstyle_mm/2540.csv,17169,17169,17169,17169,14711
/mnt/12TB/Sujan/Spatial_correlation/Raw_rain_measurement/OneDrive_1_1-26-2026/stormwatch_compiled_rawstyle_mm/2600.csv,22723,22723,22723,22723,19420
/mnt/12TB/Sujan/Spatial_correlation/Raw_rain_measurement/OneDrive_1_1-26-2026/stormwatch_compiled_rawstyle_mm/2610.csv,21573,21573,21573,21573,18801
/mnt/12TB/Sujan/Spatial_correlation/Raw_rain_measurement/OneDrive_1_1-26-2026/stormwatch_compiled_rawstyle_mm/2620.csv,21691,21691,21691,21691,18822
/mnt/12TB/Sujan/Spatial_correlation/Raw_rain_measurement/OneDrive_1_1-26-2026/stormwatch_compiled_rawstyle_mm/2630.csv,21479,21479,21479,21479,18599
