id,a_km,b,nugget,g1,d1_m,b1_deg,w1,g2,d2_m,b2_deg,w2,g3,d3_m,b3_deg,w3
12384605,44.617,1.713,0,1720,1690.981532,149.6523721,0.412735342,16010,2129.609222,254.1710813,0.200433541,16095,1829.216836,2.997340711,0.386831117
12360111,44.617,1.713,0,16019,4104.171387,73.15167913,0.262591067,16022,2477.96201,214.3106112,0.491119909,16105,3354.880672,329.6862326,0.246289024
12360110,44.617,1.713,0,16019,3908.314082,88.83071312,0.280284243,16105,2475.55768,316.1875946,0.458653558,16022,3460.150715,204.1796869,0.2610622
12360109,44.617,1.713,0,16027,2311.729512,214.1471951,0.329064199,16015,2134.469448,327.8050865,0.452165573,16019,4021.157911,104.8420537,0.218770228
12360108,44.617,1.713,0,16015,1351.104481,301.0300099,0.597263801,16027,3297.860905,203.5589936,0.160554647,16029,3413.687077,78.95961462,0.242181552
12360107,44.617,1.713,0,16029,3361.080358,97.79870063,0.036897174,16098,206.7342323,326.0241762,0.936816478,16027,4344.174172,197.9476318,0.026286349
12360106,44.617,1.713,0,16006,3275.094317,2.166282561,0.175579681,16013,1304.978755,113.1383337,0.578417993,16016,2890.159772,242.0715479,0.246002325
12360105,44.617,1.713,0,16006,2165.414919,2.733620082,0.511844099,16010,4075.893624,99.75697816,0.105948487,16015,2901.556973,204.8489773,0.382207414
12360104,44.617,1.713,0,16006,1056.391864,4.492526748,0.773332338,16015,3942.74645,198.3283278,0.182040358,16010,4383.292086,114.2534946,0.044627303
12360103,44.617,1.713,0,16098,4272.349563,182.6513987,0.24737304,16053,3101.18166,347.2451702,0.414041828,16096,2188.921883,100.9183312,0.338585132
12360102,44.617,1.713,0,16006,1167.212661,177.9537491,0.68161589,16064,4457.429876,302.137242,0.170735229,5600,4075.197265,75.73680482,0.147648881
12360127,44.617,1.713,0,16031,6576.711804,303.9473419,0.753283882,16035,6959.835808,42.83070129,0.860246495,16047,7625.495408,3.65351672,-0.613530377
12360126,44.617,1.713,0,16031,6046.198313,295.079887,0.665630357,16035,6176.508573,49.70686192,0.756816919,16047,6516.877012,4.096010169,-0.422447276
12360125,44.617,1.713,0,16031,5685.413926,284.8082211,0.569727321,16047,5408.804531,4.719810895,-0.212389034,16035,5506.645734,58.41019275,0.642661712
12360124,44.617,1.713,0,16034,982.6485277,75.05335593,0.883490072,16031,5527.694157,273.5610227,0.151257654,16039,6533.596577,345.5544106,-0.034747726
12360123,44.617,1.713,0,16034,1263.432347,132.6702988,0.72384545,16031,5590.253993,262.1197848,0.125172573,16048,4252.18173,12.01673715,0.150981976
12335599,44.617,1.713,0,16052,5302.893026,82.69672332,0.362370078,16062,3286.869879,173.3489123,0.278868339,16058,5362.070377,264.4790265,0.358761583
12360122,44.617,1.713,0,16047,2096.563231,10.54601862,0.379625035,16034,2165.858924,155.1989137,0.360620267,16036,2068.085332,261.4481101,0.259754698
12360121,44.617,1.713,0,16036,2505.042379,235.543335,0.423228864,16039,3441.877575,330.5696837,0.307325823,16035,4863.990178,108.6385889,0.269445313
12360120,44.617,1.713,0,16048,1169.289318,44.80109162,0.671457408,16034,4274.625343,168.2895558,0.181788904,16038,4101.099213,305.699635,0.146753689
12360119,44.617,1.713,0,16048,850.899638,109.2191265,0.756723954,16036,4202.852154,210.0792913,0.113731549,16030,4481.623519,351.1205981,0.129544497
