id,Latitude,Longitude,radius_used_km,g1,d1_m,b1_deg,g2,d2_m,b2_deg,g3,d3_m,b3_deg,g4,d4_m,b4_deg,g5,d5_m,b5_deg,g6,d6_m,b6_deg,g7,d7_m,b7_deg,g8,d8_m,b8_deg,g9,d9_m,b9_deg,g10,d10_m,b10_deg
2822.0,39.015547,-94.727789,6,16064,1098.3925679841934,185.8289961003883,16090,2670.3428860049394,110.27907781208864,16059,3465.1378356545183,235.91937687307092,16054,4021.499790822415,59.52912757773771,16052,2970.3000244461655,76.07644631551494,16053,3313.2811357883575,116.75087627565154,16062,3832.54712015857,209.88100918157605,16050,5598.950628182505,62.79979121652701,16060,5783.626340919756,251.23752955263774,16006,5914.1264378793685,140.49756230696767
2823.0,39.015547,-94.723622,7,16064,1190.1314050299202,203.3452314140141,16090,2335.984790064988,113.34382280647145,16054,3715.69370434465,56.71563380156732,16060,6125.603838421303,252.32324137370972,16052,2622.2956847184428,74.18611343985225,16053,2996.190381939645,119.85392846605549,16059,3768.7246741669346,238.9903408836327,16062,4024.037127397498,214.33258445995222,16050,5281.311657178528,61.016912969722284,16006,5691.908268499785,143.29757161150195
2824.0,39.015547,-94.719455,7,16064,1373.1757630067518,217.27622659909633,16090,2010.513772671755,117.41543830557458,16052,2278.0210468510354,71.72060545797973,16053,2689.9344333430786,123.67672335813143,16054,3420.445581781041,53.407001600484136,16059,4081.5035813931004,241.59739481857886,16062,4237.529712653634,218.35810803926094,16050,4969.445592384609,59.00793469153291,16006,5484.3518043235745,146.31709321216715,16051,6318.236304246821,60.198198548631694
2825.0,39.015547,-94.715288,7,16064,1616.806412972322,227.48436796048887,16090,1699.04479160359,123.01714204531925,16052,1939.4633108629005,68.38574272710326,16053,2398.6669716747956,128.4534630447962,16054,3138.736273131968,49.48906424591013,16059,4401.515382305593,243.82962476470868,16062,4469.873288290785,221.98168135643067,16050,4664.510496270188,56.732998418192665,16006,5293.182072988889,149.56420631350682,16051,6008.496890488202,58.494436173294446
2826.0,39.015547,-94.711121,6,16090,1410.8818742717892,131.01224712277627,16052,1610.2325279105773,63.66463799111983,16064,1897.8320954369847,234.85210609138866,16053,2128.5499204584344,134.49386692885867,16054,2874.548999655505,44.825317925996785,16050,4367.958201360387,54.144411890232675,16062,4718.283823775357,225.23575648914357,16059,4727.291422288069,245.75696850242,16006,5120.234855355176,153.04241348247945,16051,5704.653592119049,56.60721573258394
2827.0,39.015547,-94.706954,6,16090,1163.4728229741663,142.730736828585,16052,1297.4484466127199,56.59681406237485,16064,2201.9815463283953,240.25533178274117,16053,1888.6799164720308,142.17373555176107,16054,2633.1630520518693,39.26327399487252,16050,4081.616289943338,51.18565409764716,16006,4967.413840813307,156.74894769738353,16062,4980.357732716021,228.15611947856695,16059,5057.7179706268,247.4343467582985,16051,5407.700359022105,54.510089828088326
2828.0,39.015547,-94.702787,6,16090,987.925728568149,159.59149883590158,16052,1016.4098430877319,45.35533252294687,16064,2520.898882959559,244.320802388122,5600,5929.831946849031,112.999401056983,16053,1691.9705765860822,151.8519536309517,16054,2421.4071357133157,32.6558329968185,16050,3807.7888916539996,47.790958397489476,16006,4836.627165368326,160.6730775522002,16051,5118.8364489035375,52.17268492797143,5700,5242.021144235645,81.40665488604122
2829.0,39.015547,-94.69862,5,16052,801.2479565182514,26.953145345663586,16090,926.052034196729,180.9623299732655,16064,2849.6301518838827,247.46153057972384,5700,4886.346146021361,80.77860014797193,16053,1554.8898934653355,163.63456695111654,16054,2247.671356812817,24.908501315991884,16050,3549.3736022813714,43.886279259282844,16006,4729.703076230002,164.79469723480577,16051,4839.510601849091,49.560519035576306,16093,4980.059193135376,121.04440503200635
2830.0,39.015547,-94.694453,5,16052,714.2131534316719,0.2564196032535051,16090,999.1968698247474,202.08048954229943,16064,3185.1381759564442,249.9470895784973,5700,4531.353240905903,80.05183472824956,16053,1493.9431964168298,177.00601887984521,16054,2121.317914517056,16.05677015021712,16050,3309.982132552642,39.393027753651495,16051,4571.471535857261,46.63517067716367,16006,4648.288591041416,169.08356908568305,16093,4675.305300307772,123.3229563555077
2831.0,39.015547,-94.690286,5,16052,798.3704600832059,333.45579352199127,16090,1182.5663993001945,218.4687860003908,16050,3094.033369987518,34.23664736845245,16093,4378.957725165382,125.91430562559816,16053,1518.3265499826382,190.70564125233133,16054,2051.1221359751935,6.348849530129769,16064,3525.488727265734,251.95618436041156,5700,4177.21633256376,79.20146152340874,16051,4316.822211900991,43.355090246288114,16006,4593.740224185717,173.49958975013283
