station,nominal_step_seconds,n_missing_ranges_ge_min_gap,output_csv
3660.hourly_mm,3600,1,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/3660.hourly_mm_missing_ranges.csv
3680.hourly_mm,3600,1,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/3680.hourly_mm_missing_ranges.csv
3690.hourly_mm,3600,1,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/3690.hourly_mm_missing_ranges.csv
3700.hourly_mm,3600,1,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/3700.hourly_mm_missing_ranges.csv
3720.hourly_mm,3600,1,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/3720.hourly_mm_missing_ranges.csv
3740.hourly_mm,3600,0,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/3740.hourly_mm_missing_ranges.csv
3760.hourly_mm,3600,2,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/3760.hourly_mm_missing_ranges.csv
3770.hourly_mm,3600,1,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/3770.hourly_mm_missing_ranges.csv
3800.hourly_mm,3600,1,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/3800.hourly_mm_missing_ranges.csv
3810.hourly_mm,3600,1,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/3810.hourly_mm_missing_ranges.csv
3820.hourly_mm,3600,1,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/3820.hourly_mm_missing_ranges.csv
3860.hourly_mm,3600,1,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/3860.hourly_mm_missing_ranges.csv
3880.hourly_mm,3600,0,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/3880.hourly_mm_missing_ranges.csv
3900.hourly_mm,3600,1,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/3900.hourly_mm_missing_ranges.csv
3920.hourly_mm,3600,2,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/3920.hourly_mm_missing_ranges.csv
3940.hourly_mm,3600,2,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/3940.hourly_mm_missing_ranges.csv
3960.hourly_mm,3600,1,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/3960.hourly_mm_missing_ranges.csv
3980.hourly_mm,3600,1,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/3980.hourly_mm_missing_ranges.csv
4000.hourly_mm,3600,1,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/4000.hourly_mm_missing_ranges.csv
4040.hourly_mm,3600,2,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/4040.hourly_mm_missing_ranges.csv
4060.hourly_mm,3600,1,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/4060.hourly_mm_missing_ranges.csv
4080.hourly_mm,3600,0,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/4080.hourly_mm_missing_ranges.csv
4150.hourly_mm,3600,0,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/4150.hourly_mm_missing_ranges.csv
4160.hourly_mm,3600,0,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/4160.hourly_mm_missing_ranges.csv
4200.hourly_mm,3600,0,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/4200.hourly_mm_missing_ranges.csv
5100.hourly_mm,3600,0,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/5100.hourly_mm_missing_ranges.csv
5110.hourly_mm,3600,0,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/5110.hourly_mm_missing_ranges.csv
5170.hourly_mm,3600,0,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/5170.hourly_mm_missing_ranges.csv
5200.hourly_mm,3600,0,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/5200.hourly_mm_missing_ranges.csv
5400.hourly_mm,3600,0,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/5400.hourly_mm_missing_ranges.csv
5600.hourly_mm,3600,0,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/5600.hourly_mm_missing_ranges.csv
5700.hourly_mm,3600,1,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/5700.hourly_mm_missing_ranges.csv
5800.hourly_mm,3600,0,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/5800.hourly_mm_missing_ranges.csv
5900.hourly_mm,3600,0,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/5900.hourly_mm_missing_ranges.csv
6000.hourly_mm,3600,1,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/6000.hourly_mm_missing_ranges.csv
7000.hourly_mm,3600,3,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/7000.hourly_mm_missing_ranges.csv
7010.hourly_mm,3600,6,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/7010.hourly_mm_missing_ranges.csv
7020.hourly_mm,3600,4,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/7020.hourly_mm_missing_ranges.csv
7030.hourly_mm,3600,2,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/7030.hourly_mm_missing_ranges.csv
7050.hourly_mm,3600,2,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/7050.hourly_mm_missing_ranges.csv
7060.hourly_mm,3600,2,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/7060.hourly_mm_missing_ranges.csv
7070.hourly_mm,3600,2,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/7070.hourly_mm_missing_ranges.csv
7080.hourly_mm,3600,4,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/7080.hourly_mm_missing_ranges.csv
