time,event_raw_value_str,event_value,event_unit,hourly_value
2012-03-05 01:39:15+00:00,0.0,0.0,mm,
2012-03-05 13:39:16+00:00,0.0,0.0,mm,
2012-03-06 01:39:17+00:00,0.0,0.0,mm,
2012-03-06 13:39:17+00:00,0.0,0.0,mm,
2012-03-07 01:39:18+00:00,0.0,0.0,mm,
2012-03-07 13:39:19+00:00,0.0,0.0,mm,
2012-03-08 01:39:19+00:00,0.0,0.0,mm,
2012-03-08 02:06:22+00:00,0.04,1.016,mm,
2012-03-08 02:19:00+00:00,0.04,1.016,mm,
2012-03-08 02:27:34+00:00,0.04,1.016,mm,
2012-03-08 02:34:29+00:00,0.04,1.016,mm,
2012-03-08 02:38:34+00:00,0.04,1.016,mm,
2012-03-08 02:46:43+00:00,0.04,1.016,mm,
2012-03-08 03:31:51+00:00,0.04,1.016,mm,
2012-03-08 03:49:56+00:00,0.04,1.016,mm,
2012-03-08 04:22:36+00:00,0.08,2.032,mm,
2012-03-08 05:49:56+00:00,0.04,1.016,mm,
2012-03-08 13:39:20+00:00,0.0,0.0,mm,
2012-03-09 01:39:21+00:00,0.0,0.0,mm,
2012-03-09 13:39:51+00:00,0.0,0.0,mm,
2012-03-10 01:39:22+00:00,0.0,0.0,mm,
2012-03-10 13:39:23+00:00,0.0,0.0,mm,
2012-03-11 01:39:23+00:00,0.0,0.0,mm,
2012-03-11 08:05:38+00:00,0.04,1.016,mm,
2012-03-11 08:26:57+00:00,0.04,1.016,mm,
2012-03-11 08:51:59+00:00,0.04,1.016,mm,
2012-03-11 09:14:29+00:00,0.04,1.016,mm,
2012-03-11 12:45:10+00:00,0.04,1.016,mm,
2012-03-11 12:53:14+00:00,0.04,1.016,mm,
2012-03-11 12:59:02+00:00,0.04,1.016,mm,
2012-03-11 13:10:39+00:00,0.04,1.016,mm,
2012-03-11 14:29:05+00:00,0.04,1.016,mm,
2012-03-11 14:38:37+00:00,0.04,1.016,mm,
2012-03-11 14:39:24+00:00,0.0,0.0,mm,
2012-03-11 14:44:16+00:00,0.04,1.016,mm,
2012-03-11 14:52:47+00:00,0.04,1.016,mm,
2012-03-11 14:59:54+00:00,0.04,1.016,mm,
2012-03-11 15:06:00+00:00,0.04,1.016,mm,
2012-03-11 15:14:48+00:00,0.04,1.016,mm,
2012-03-11 15:23:23+00:00,0.04,1.016,mm,
2012-03-11 15:42:49+00:00,0.08,2.032,mm,
2012-03-11 16:07:01+00:00,0.04,1.016,mm,
2012-03-11 16:36:12+00:00,0.04,1.016,mm,
2012-03-11 22:03:17+00:00,0.04,1.016,mm,
2012-03-12 02:39:24+00:00,0.0,0.0,mm,
2012-03-12 14:39:25+00:00,0.0,0.0,mm,
2012-03-12 14:48:01+00:00,0.04,1.016,mm,
2012-03-12 15:03:30+00:00,0.0,0.0,mm,
2012-03-12 15:06:51+00:00,0.0,0.0,mm,
2012-03-13 02:39:26+00:00,0.0,0.0,mm,
2012-03-13 14:39:26+00:00,0.0,0.0,mm,
2012-03-14 02:39:27+00:00,0.0,0.0,mm,
2012-03-14 14:39:57+00:00,0.0,0.0,mm,
2012-03-15 02:39:28+00:00,0.0,0.0,mm,
2012-03-15 14:39:29+00:00,0.0,0.0,mm,
2012-03-16 02:39:29+00:00,0.0,0.0,mm,
2012-03-16 14:39:30+00:00,0.0,0.0,mm,
2012-03-17 02:39:30+00:00,0.0,0.0,mm,
2012-03-17 14:39:31+00:00,0.0,0.0,mm,
2012-03-18 14:39:32+00:00,0.0,0.0,mm,
2012-03-19 02:39:32+00:00,0.0,0.0,mm,
2012-03-19 11:59:23+00:00,0.04,1.016,mm,
2012-03-19 13:11:32+00:00,0.04,1.016,mm,
2012-03-19 13:40:32+00:00,0.04,1.016,mm,
2012-03-19 13:58:34+00:00,0.04,1.016,mm,
2012-03-19 13:59:43+00:00,0.04,1.016,mm,
2012-03-19 14:14:35+00:00,0.04,1.016,mm,
2012-03-19 14:22:09+00:00,0.04,1.016,mm,
2012-03-19 14:25:04+00:00,0.04,1.016,mm,
2012-03-19 14:26:09+00:00,0.04,1.016,mm,
2012-03-19 14:30:25+00:00,0.08,2.032,mm,
2012-03-19 14:35:38+00:00,0.04,1.016,mm,
2012-03-19 14:40:13+00:00,0.04,1.016,mm,
2012-03-19 14:45:50+00:00,0.04,1.016,mm,
2012-03-19 15:04:47+00:00,0.04,1.016,mm,
2012-03-19 15:15:34+00:00,0.04,1.016,mm,
2012-03-19 15:33:31+00:00,0.04,1.016,mm,
2012-03-19 15:40:20+00:00,0.04,1.016,mm,
2012-03-19 15:53:08+00:00,0.04,1.016,mm,
2012-03-19 16:02:15+00:00,0.04,1.016,mm,
2012-03-19 17:08:04+00:00,0.04,1.016,mm,
2012-03-19 18:08:36+00:00,0.04,1.016,mm,
2012-03-19 19:10:51+00:00,0.04,1.016,mm,
2012-03-19 19:33:03+00:00,0.04,1.016,mm,
2012-03-19 19:54:18+00:00,0.04,1.016,mm,
2012-03-19 20:32:42+00:00,0.08,2.032,mm,
2012-03-19 20:49:34+00:00,0.04,1.016,mm,
2012-03-19 21:03:03+00:00,0.04,1.016,mm,
2012-03-19 21:27:00+00:00,0.04,1.016,mm,
2012-03-19 22:15:29+00:00,0.04,1.016,mm,
2012-03-19 22:32:33+00:00,0.04,1.016,mm,
2012-03-19 22:47:28+00:00,0.04,1.016,mm,
2012-03-19 23:01:19+00:00,0.04,1.016,mm,
2012-03-19 23:14:57+00:00,0.04,1.016,mm,
2012-03-19 23:32:24+00:00,0.04,1.016,mm,
2012-03-19 23:50:31+00:00,0.04,1.016,mm,
2012-03-20 00:21:47+00:00,0.04,1.016,mm,
2012-03-20 00:50:06+00:00,0.04,1.016,mm,
2012-03-20 01:07:13+00:00,0.04,1.016,mm,
2012-03-20 01:29:08+00:00,0.04,1.016,mm,
2012-03-20 02:39:34+00:00,0.0,0.0,mm,
2012-03-20 03:14:49+00:00,0.04,1.016,mm,
2012-03-20 03:43:19+00:00,0.04,1.016,mm,
2012-03-20 05:11:04+00:00,0.04,1.016,mm,
2012-03-20 06:00:19+00:00,0.04,1.016,mm,
2012-03-20 06:48:38+00:00,0.04,1.016,mm,
2012-03-20 07:06:21+00:00,0.04,1.016,mm,
2012-03-20 07:29:12+00:00,0.04,1.016,mm,
2012-03-20 08:10:58+00:00,0.04,1.016,mm,
2012-03-20 08:59:28+00:00,0.04,1.016,mm,
2012-03-20 11:32:48+00:00,0.04,1.016,mm,
2012-03-20 12:30:06+00:00,0.04,1.016,mm,
2012-03-20 14:39:34+00:00,0.0,0.0,mm,
2012-03-20 17:52:48+00:00,0.04,1.016,mm,
2012-03-20 18:05:22+00:00,0.04,1.016,mm,
2012-03-20 18:39:19+00:00,0.04,1.016,mm,
2012-03-21 02:39:35+00:00,0.0,0.0,mm,
2012-03-21 12:06:29+00:00,0.04,1.016,mm,
2012-03-21 12:27:41+00:00,0.04,1.016,mm,
2012-03-21 12:50:57+00:00,0.04,1.016,mm,
2012-03-21 13:00:30+00:00,0.04,1.016,mm,
2012-03-21 13:15:00+00:00,0.04,1.016,mm,
2012-03-21 13:23:40+00:00,0.04,1.016,mm,
2012-03-21 13:29:56+00:00,0.04,1.016,mm,
2012-03-21 13:37:42+00:00,0.04,1.016,mm,
2012-03-21 13:46:37+00:00,0.04,1.016,mm,
2012-03-21 13:59:58+00:00,0.08,2.032,mm,
2012-03-21 14:03:51+00:00,0.04,1.016,mm,
2012-03-21 14:07:43+00:00,0.04,1.016,mm,
2012-03-21 14:11:54+00:00,0.04,1.016,mm,
2012-03-21 14:15:56+00:00,0.04,1.016,mm,
2012-03-21 14:27:18+00:00,0.04,1.016,mm,
2012-03-21 14:39:35+00:00,0.0,0.0,mm,
2012-03-21 14:42:00+00:00,0.04,1.016,mm,
2012-03-21 18:44:45+00:00,0.04,1.016,mm,
2012-03-21 20:27:26+00:00,0.04,1.016,mm,
2012-03-22 02:39:36+00:00,0.0,0.0,mm,
2012-03-22 14:39:36+00:00,0.0,0.0,mm,
2012-03-22 16:02:51+00:00,0.04,1.016,mm,
2012-03-22 17:54:18+00:00,0.04,1.016,mm,
2012-03-22 18:55:24+00:00,0.04,1.016,mm,
2012-03-22 19:00:14+00:00,0.04,1.016,mm,
2012-03-22 19:10:49+00:00,0.04,1.016,mm,
2012-03-22 19:19:07+00:00,0.04,1.016,mm,
2012-03-22 19:27:49+00:00,0.04,1.016,mm,
2012-03-22 19:33:57+00:00,0.04,1.016,mm,
2012-03-23 02:39:37+00:00,0.0,0.0,mm,
2012-03-23 14:39:38+00:00,0.0,0.0,mm,
2012-03-24 02:39:38+00:00,0.0,0.0,mm,
2012-03-24 14:39:39+00:00,0.0,0.0,mm,
2012-03-25 02:39:39+00:00,0.0,0.0,mm,
2012-03-25 14:39:40+00:00,0.0,0.0,mm,
2012-03-26 02:39:40+00:00,0.0,0.0,mm,
2012-03-26 14:39:41+00:00,0.0,0.0,mm,
2012-03-27 02:39:41+00:00,0.0,0.0,mm,
2012-03-27 12:01:41+00:00,0.04,1.016,mm,
2012-03-27 12:12:25+00:00,0.04,1.016,mm,
2012-03-27 14:39:42+00:00,0.0,0.0,mm,
2012-03-28 02:39:43+00:00,0.0,0.0,mm,
2012-03-29 02:39:44+00:00,0.0,0.0,mm,
2012-03-29 14:39:44+00:00,0.0,0.0,mm,
2012-03-30 02:39:45+00:00,0.0,0.0,mm,
2012-03-30 14:39:45+00:00,0.0,0.0,mm,
2012-03-31 02:39:46+00:00,0.0,0.0,mm,
2012-03-31 14:40:16+00:00,0.0,0.0,mm,
2012-04-01 02:39:47+00:00,0.0,0.0,mm,
2012-04-01 14:39:47+00:00,0.0,0.0,mm,
2012-04-02 02:39:48+00:00,0.0,0.0,mm,
2012-04-02 14:39:49+00:00,0.0,0.0,mm,
2012-04-03 02:39:49+00:00,0.0,0.0,mm,
2012-04-03 14:39:50+00:00,0.0,0.0,mm,
2012-04-04 02:39:50+00:00,0.0,0.0,mm,
2012-04-04 14:39:51+00:00,0.0,0.0,mm,
2012-04-05 02:39:51+00:00,0.0,0.0,mm,
2012-04-05 14:39:52+00:00,0.0,0.0,mm,
2012-04-06 02:39:52+00:00,0.0,0.0,mm,
2012-04-06 14:39:53+00:00,0.0,0.0,mm,
2012-04-07 02:39:54+00:00,0.0,0.0,mm,
2012-04-07 14:39:54+00:00,0.0,0.0,mm,
2012-04-08 02:39:55+00:00,0.0,0.0,mm,
2012-04-08 14:39:55+00:00,0.0,0.0,mm,
2012-04-09 02:39:56+00:00,0.0,0.0,mm,
2012-04-09 14:39:56+00:00,0.0,0.0,mm,
2012-04-10 02:39:57+00:00,0.0,0.0,mm,
2012-04-10 14:39:58+00:00,0.0,0.0,mm,
2012-04-11 02:39:58+00:00,0.0,0.0,mm,
2012-04-11 14:39:59+00:00,0.0,0.0,mm,
2012-04-12 02:39:59+00:00,0.0,0.0,mm,
2012-04-12 14:40:00+00:00,0.0,0.0,mm,
2012-04-12 15:56:09+00:00,0.04,1.016,mm,
2012-04-13 02:40:00+00:00,0.0,0.0,mm,
2012-04-13 04:51:34+00:00,0.04,1.016,mm,
2012-04-13 06:15:33+00:00,0.04,1.016,mm,
2012-04-13 14:40:01+00:00,0.0,0.0,mm,
2012-04-14 02:40:01+00:00,0.0,0.0,mm,
2012-04-14 14:40:02+00:00,0.0,0.0,mm,
2012-04-14 17:39:16+00:00,0.04,1.016,mm,
2012-04-15 02:40:03+00:00,0.0,0.0,mm,
2012-04-15 14:36:17+00:00,0.0,0.0,mm,
2012-04-16 02:40:04+00:00,0.0,0.0,mm,
2012-04-16 14:40:04+00:00,0.0,0.0,mm,
2012-04-17 02:40:05+00:00,0.0,0.0,mm,
2012-04-17 14:40:05+00:00,0.0,0.0,mm,
2012-04-18 02:40:06+00:00,0.0,0.0,mm,
2012-04-19 02:40:07+00:00,0.0,0.0,mm,
2012-04-19 14:40:08+00:00,0.0,0.0,mm,
2012-04-20 02:40:08+00:00,0.0,0.0,mm,
2012-04-20 14:40:09+00:00,0.0,0.0,mm,
2012-04-21 02:40:09+00:00,0.0,0.0,mm,
2012-04-22 02:40:10+00:00,0.0,0.0,mm,
2012-04-22 14:40:11+00:00,0.0,0.0,mm,
2012-04-23 02:40:12+00:00,0.0,0.0,mm,
2012-04-24 02:40:13+00:00,0.0,0.0,mm,
2012-04-24 14:40:13+00:00,0.0,0.0,mm,
2012-04-25 02:40:14+00:00,0.0,0.0,mm,
2012-04-25 14:40:14+00:00,0.0,0.0,mm,
2012-04-26 02:40:15+00:00,0.0,0.0,mm,
2012-04-26 14:40:15+00:00,0.0,0.0,mm,
2012-04-27 02:40:16+00:00,0.0,0.0,mm,
2012-04-27 14:40:17+00:00,0.0,0.0,mm,
2012-04-27 20:21:16+00:00,0.04,1.016,mm,
2012-04-27 20:32:00+00:00,0.04,1.016,mm,
2012-04-27 20:34:18+00:00,0.04,1.016,mm,
2012-04-28 02:40:17+00:00,0.0,0.0,mm,
2012-04-28 14:40:18+00:00,0.0,0.0,mm,
2012-04-28 22:27:05+00:00,0.04,1.016,mm,
2012-04-28 22:31:15+00:00,0.04,1.016,mm,
2012-04-28 22:33:10+00:00,0.04,1.016,mm,
2012-04-28 22:34:39+00:00,0.04,1.016,mm,
2012-04-28 22:36:28+00:00,0.04,1.016,mm,
2012-04-28 22:39:18+00:00,0.04,1.016,mm,
2012-04-28 22:49:54+00:00,0.04,1.016,mm,
2012-04-28 22:51:02+00:00,0.04,1.016,mm,
2012-04-28 22:52:56+00:00,0.04,1.016,mm,
2012-04-29 02:40:18+00:00,0.04,1.016,mm,
2012-04-29 05:48:00+00:00,0.04,1.016,mm,
2012-04-29 06:23:36+00:00,0.04,1.016,mm,
2012-04-29 06:38:26+00:00,0.04,1.016,mm,
2012-04-29 07:01:06+00:00,0.04,1.016,mm,
2012-04-29 10:54:03+00:00,0.04,1.016,mm,
2012-04-29 11:18:28+00:00,0.04,1.016,mm,
2012-04-29 11:25:24+00:00,0.04,1.016,mm,
2012-04-29 11:31:06+00:00,0.04,1.016,mm,
2012-04-29 11:36:44+00:00,0.04,1.016,mm,
2012-04-29 11:42:37+00:00,0.04,1.016,mm,
2012-04-29 11:47:52+00:00,0.04,1.016,mm,
2012-04-29 11:53:02+00:00,0.04,1.016,mm,
2012-04-29 11:58:52+00:00,0.04,1.016,mm,
2012-04-29 12:05:11+00:00,0.04,1.016,mm,
2012-04-29 12:30:57+00:00,0.04,1.016,mm,
2012-04-29 14:40:19+00:00,0.0,0.0,mm,
2012-04-29 20:19:48+00:00,0.04,1.016,mm,
2012-04-30 02:40:49+00:00,0.0,0.0,mm,
2012-04-30 14:40:20+00:00,0.0,0.0,mm,
2012-05-01 01:48:40+00:00,0.04,1.016,mm,
2012-05-01 02:15:30+00:00,0.04,1.016,mm,
2012-05-01 02:30:56+00:00,0.04,1.016,mm,
2012-05-01 02:39:28+00:00,0.04,1.016,mm,
2012-05-01 02:40:20+00:00,0.0,0.0,mm,
2012-05-01 02:50:18+00:00,0.04,1.016,mm,
2012-05-01 03:03:21+00:00,0.04,1.016,mm,
2012-05-01 03:13:42+00:00,0.04,1.016,mm,
2012-05-01 03:30:18+00:00,0.04,1.016,mm,
2012-05-01 14:40:21+00:00,0.0,0.0,mm,
2012-05-02 02:40:22+00:00,0.0,0.0,mm,
2012-05-02 14:40:22+00:00,0.0,0.0,mm,
2012-05-03 02:40:23+00:00,0.0,0.0,mm,
2012-05-03 14:40:23+00:00,0.0,0.0,mm,
2012-05-04 02:40:24+00:00,0.0,0.0,mm,
2012-05-04 05:58:30+00:00,0.04,1.016,mm,
2012-05-04 06:06:19+00:00,0.04,1.016,mm,
2012-05-04 14:40:24+00:00,0.0,0.0,mm,
2012-05-05 02:40:25+00:00,0.0,0.0,mm,
2012-05-05 14:40:25+00:00,0.0,0.0,mm,
