time,event_raw_value_str,event_value,event_unit
2013-10-03 15:29:51+00:00,0.0,0.0,mm
2013-10-04 03:27:55+00:00,0.0,0.0,mm
2013-10-04 15:25:58+00:00,0.0,0.0,mm
2013-10-04 21:40:29+00:00,0.04,1.016,mm
2013-10-04 21:41:20+00:00,0.04,1.016,mm
2013-10-04 21:42:02+00:00,0.04,1.016,mm
2013-10-04 21:42:51+00:00,0.04,1.016,mm
2013-10-04 21:43:37+00:00,0.04,1.016,mm
2013-10-04 21:44:53+00:00,0.04,1.016,mm
2013-10-04 21:47:07+00:00,0.04,1.016,mm
2013-10-04 21:47:56+00:00,0.04,1.016,mm
2013-10-04 21:48:50+00:00,0.04,1.016,mm
2013-10-04 21:49:49+00:00,0.04,1.016,mm
2013-10-04 21:55:46+00:00,0.04,1.016,mm
2013-10-04 22:46:30+00:00,0.04,1.016,mm
2013-10-04 22:49:06+00:00,0.08,2.032,mm
2013-10-04 22:56:56+00:00,0.04,1.016,mm
2013-10-04 23:11:02+00:00,0.04,1.016,mm
2013-10-05 03:24:02+00:00,0.0,0.0,mm
2013-10-05 15:22:06+00:00,0.0,0.0,mm
2013-10-06 03:20:10+00:00,0.0,0.0,mm
2013-10-06 15:18:15+00:00,0.0,0.0,mm
2013-10-07 03:16:19+00:00,0.0,0.0,mm
2013-10-07 15:14:23+00:00,0.0,0.0,mm
2013-10-08 03:12:27+00:00,0.0,0.0,mm
2013-10-08 15:10:31+00:00,0.0,0.0,mm
2013-10-09 03:08:35+00:00,0.0,0.0,mm
2013-10-09 15:06:39+00:00,0.0,0.0,mm
2013-10-10 03:04:43+00:00,0.0,0.0,mm
2013-10-10 15:02:47+00:00,0.0,0.0,mm
2013-10-11 03:00:51+00:00,0.0,0.0,mm
2013-10-11 14:58:55+00:00,0.0,0.0,mm
2013-10-12 02:56:59+00:00,0.0,0.0,mm
2013-10-12 14:55:03+00:00,0.0,0.0,mm
2013-10-13 14:51:12+00:00,0.0,0.0,mm
2013-10-14 02:49:16+00:00,0.0,0.0,mm
2013-10-14 14:47:20+00:00,0.0,0.0,mm
2013-10-15 00:21:29+00:00,0.04,1.016,mm
2013-10-15 00:48:39+00:00,0.04,1.016,mm
2013-10-15 02:39:40+00:00,0.04,1.016,mm
2013-10-15 02:45:24+00:00,0.0,0.0,mm
2013-10-15 14:43:28+00:00,0.0,0.0,mm
2013-10-16 02:41:32+00:00,0.0,0.0,mm
2013-10-16 14:39:36+00:00,0.0,0.0,mm
2013-10-17 02:37:41+00:00,0.0,0.0,mm
2013-10-17 14:35:45+00:00,0.0,0.0,mm
2013-10-18 02:33:49+00:00,0.0,0.0,mm
2013-10-18 13:25:47+00:00,0.08,2.032,mm
2013-10-18 14:00:39+00:00,0.04,1.016,mm
2013-10-18 14:31:53+00:00,0.0,0.0,mm
2013-10-18 14:54:04+00:00,0.04,1.016,mm
2013-10-18 15:41:36+00:00,0.04,1.016,mm
2013-10-19 02:29:58+00:00,0.04,1.016,mm
2013-10-19 14:28:02+00:00,0.0,0.0,mm
2013-10-20 02:26:06+00:00,0.0,0.0,mm
2013-10-20 14:24:11+00:00,0.0,0.0,mm
2013-10-21 02:22:15+00:00,0.0,0.0,mm
2013-10-21 14:20:19+00:00,0.0,0.0,mm
2013-10-22 02:18:23+00:00,0.0,0.0,mm
2013-10-22 14:16:27+00:00,0.0,0.0,mm
2013-10-23 02:14:32+00:00,0.0,0.0,mm
2013-10-23 14:12:36+00:00,0.0,0.0,mm
2013-10-24 02:10:40+00:00,0.0,0.0,mm
2013-10-24 14:08:45+00:00,0.0,0.0,mm
2013-10-25 02:06:49+00:00,0.0,0.0,mm
2013-10-25 14:04:53+00:00,0.0,0.0,mm
2013-10-26 02:02:58+00:00,0.0,0.0,mm
2013-10-26 14:01:02+00:00,0.0,0.0,mm
2013-10-27 01:59:06+00:00,0.0,0.0,mm
2013-10-27 13:57:11+00:00,0.0,0.0,mm
2013-10-28 01:55:15+00:00,0.0,0.0,mm
2013-10-28 13:53:19+00:00,0.0,0.0,mm
2013-10-29 01:51:23+00:00,0.0,0.0,mm
2013-10-29 02:51:17+00:00,0.04,1.016,mm
2013-10-29 03:03:50+00:00,0.04,1.016,mm
2013-10-29 03:14:38+00:00,0.04,1.016,mm
2013-10-29 03:23:15+00:00,0.04,1.016,mm
2013-10-29 03:31:14+00:00,0.04,1.016,mm
2013-10-29 03:52:15+00:00,0.04,1.016,mm
2013-10-29 04:19:11+00:00,0.04,1.016,mm
2013-10-29 04:30:52+00:00,0.04,1.016,mm
2013-10-29 04:40:41+00:00,0.04,1.016,mm
2013-10-29 04:48:40+00:00,0.04,1.016,mm
