,station1,station2,distance_km,correlation
8927,16066,16064,12.540788561427648,0.6198637878435902
8928,16066,16062,9.833373704887968,0.5815762062920588
8929,16066,16059,9.815316852630021,0.5056203220167266
8930,16066,16060,8.0282199799261,0.6058625626201043
8931,16066,16058,7.974342326604804,0.7021435249779192
8932,16066,16063,8.335885736307167,0.6835902652190992
8933,16066,3700,42.39002378262053,-0.1767384509816064
8934,16066,2620,52.156200987760336,-0.4284578171968101
8935,16066,2600,46.10899828616469,-0.6295197870424851
8936,16066,2650,37.26219752135671,-0.38370849227674275
8937,16066,3980,46.370648657039744,-0.2649715965979542
8938,16066,2630,48.32157604931128,-0.499806414137417
8939,16066,2640,36.463828300522394,-0.516911748716093
8940,16066,16030,16.56019374045462,0.4857489913661214
8941,16066,16043,18.690906874670723,0.7943671011997194
8942,16066,16042,20.33730689753836,0.5441357106273474
8943,16066,16044,21.411320008024813,0.6013493940713668
8944,16066,16045,22.530745589778054,0.2883925579741506
8945,16066,3820,37.287520361757,-0.34157198298187913
8946,16066,3800,36.441250947309896,-0.355932648656025
8947,16066,4150,36.71025824250257,-0.4905480779309084
8948,16066,3740,42.457020990782745,-0.3577759719047541
8949,16066,3900,34.157681455242155,-0.34702987989948214
8950,16066,3680,41.69927427187361,-0.4950804571119522
8951,16066,3880,34.92364168103626,-0.4332678705379584
8952,16066,7000,22.22402371581426,0.030074179066732203
8953,16066,7060,25.987938836840478,-0.5578263284983577
8954,16066,7050,18.389990184210067,-0.26513959214394806
8955,16066,3940,39.61428489003569,-0.5822473838681989
8956,16066,3760,43.082686685612074,-0.3053398726621197
8957,16066,3660,43.94950782897397,-0.530621627631277
8958,16066,3690,45.03459332409012,-0.8135996252375183
8959,16066,16025,11.310624642637919,0.5349200251729935
8960,16066,16023,14.420238229511645,0.48489321382088607
8961,16066,16024,12.197865128233367,0.3693006200369898
8962,16066,16021,13.117284542372055,0.2654678792656667
8963,16066,16022,14.769435614638844,0.3148709942916019
8964,16066,16026,15.717245018670123,0.7262891190118126
8965,16066,16027,13.846228812141986,0.1701005895706717
8966,16066,16020,16.75631408234298,-0.3906918614423045
8967,16066,16019,18.52774028678758,0.5603471286904275
8968,16066,16053,15.003397225980398,0.2123644746624776
8969,16066,16090,14.863178664145105,0.40734946357905577
8970,16066,16052,16.03856646935149,0.17768775936298803
8971,16066,16054,17.273655552460074,0.2952845050373859
8972,16066,16051,20.150472323635018,0.2687540429585313
8973,16066,3000,23.226086416125,-0.37109447051831185
8974,16066,2900,25.511625147782272,-0.6138391088666488
8975,16066,1010,30.921087784676264,-0.5237889257226401
8976,16066,16032,14.711749857206582,0.8213746638969214
8977,16066,16033,19.915225457580682,0.7987190399065378
8978,16066,16031,21.276043995598105,0.8219785800707985
8979,16066,16036,21.549568203996117,0.41950726682540795
8980,16066,16047,21.164875477242752,0.36042179804304975
8981,16066,16034,24.6059508096739,0.4600738161550375
8982,16057,16061,0.9290028825365594,0.9968606383597169
8983,16057,16075,4.403752564889464,0.9589223867920911
8984,16057,16065,7.504193671328414,0.9633170045020438
8985,16057,16064,8.578619721847476,0.7760784093072036
8986,16057,16062,5.997301108611522,0.8009616308970096
8987,16057,16059,5.794313373763013,0.7180077282408447
8988,16057,16060,4.066113459183665,0.8390250587025121
8989,16057,16058,4.685236099069531,0.8946828251034943
8990,16057,16063,5.382865541674537,0.8934914138363863
8991,16057,3700,38.362831416997416,0.033045384118840136
8992,16057,2620,48.13744291073657,-0.5162763078619275
8993,16057,2600,42.2221821997207,-0.6826848959629805
8994,16057,2650,33.22188194895008,0.38671528075864525
8995,16057,3980,42.331226132787364,-0.6542447333039448
8996,16057,2630,44.29663697780678,0.1787941664369675
8997,16057,2640,32.429871289710626,-0.5495617173479321
8998,16057,16030,16.308719241534103,0.623044016337478
8999,16057,16043,18.1819712876059,0.823496020247966
9000,16057,16042,19.693748178620833,0.649546582877001
9001,16057,16044,20.480423050632456,0.6891303081938966
9002,16057,16045,21.329879562048806,0.2917214337560259
9003,16057,3820,33.337343629451475,-0.3818947589373797
